Time,Reference,Target
12.12,56.86,
12.14,56.3,
12.16,55.96,
12.18,55.58,
12.2,55.26,
12.22,54.84,
12.24,54.51,
12.26,54.68,
12.28,54.99,
12.3,55.73,
12.32,56.64,
12.34,57.78,
12.36,58.62,
12.38,59.42,
12.4,60.26,
12.42,60.98,
12.44,61.43,
12.46,61.93,
12.48,62.38,
12.5,62.91,62.91
12.52,63.32,
12.54,63.86,
12.56,64.36,
12.58,64.74,
12.6,65.34,
12.62,65.73,
12.64,65.91,
12.66,66.09,
12.68,66.07,
12.7,65.37,
12.72,64.4,
12.74,63.76,
12.76,63.57,
12.78,63.42,
12.8,63.27,
12.82,63.07,
12.84,62.69,
12.86,62.57,
12.88,62.61,
12.9,62.51,
12.92,62.48,
12.94,62.54,
12.96,62.5,
12.98,62.92,
13,63.35,63.35
13.02,63.87,
13.04,64.11,
13.06,65.04,
13.08,65.86,
13.1,66.68,66.68
13.12,67.44,67.44
13.14,68.14,68.14
13.16,68.87,68.87
13.18,69.23,69.23
13.2,69.91,69.91
13.22,70.37,70.37
13.24,70.92,70.92
13.26,71.41,71.41
13.28,71.38,71.38
13.3,71.47,71.47
13.32,71.06,71.06
13.34,70.92,70.92
13.36,70.86,70.86
13.38,70.54,70.54
13.4,70.44,70.44
13.42,70.15,70.15
13.44,69.82,69.82
13.46,69.65,69.65
13.48,69.41,69.41
13.5,69.2,69.2
13.52,69.02,69.02
13.54,69.17,69.17
13.56,69.66,69.66
13.58,70.18,70.18
13.6,70.48,70.48
13.62,71.06,71.06
13.64,71.36,71.36
13.66,71.78,71.78
13.68,72.15,72.15
13.7,72.5,72.5
13.72,72.98,72.98
13.74,73.43,73.43
13.76,73.57,73.57
13.78,74.13,74.13
13.8,74.55,74.55
13.82,74.74,74.74
13.84,74.82,74.82
13.86,75.23,75.23
13.88,75.58,75.58
13.9,75.71,75.71
13.92,75.91,75.91
13.94,76.24,76.24
13.96,76.64,76.64
13.98,76.9,76.9
14,77.12,77.12
14.02,77.57,77.57
14.04,77.75,77.75
14.06,78.11,78.11
14.08,78.31,78.31
14.1,78.4,78.4
14.12,78.62,78.62
14.14,78.74,78.74
14.16,78.81,78.81
14.18,78.6,78.6
14.2,78.9,78.9
14.22,78.91,78.91
14.24,78.9,78.9
14.26,79.21,79.21
14.28,79.23,79.23
14.3,79.12,79.12
14.32,79,79
14.34,79.03,79.03
14.36,78.87,78.87
14.38,78.35,78.35
